,dts_gnf_off,usd_gnf_off,eur_gnf_off,usd_gnf_p,eur_gnf_p,usd_gnf_gap,eur_gnf_gap
2000.01.06,2418.37,1750.00,1814.40,,,,
2000.01.12,2466.99,1795.95,1841.93,,,,
2000.02.02,2441.27,1815.00,1762.37,,,,
2000.02.09,2435.63,1809.00,1791.45,,,,
2000.02.16,2384.69,1775.00,1735.60,,,,
2000.03.01,2239.28,1972.00,1624.18,,,,
2000.03.08,2236.97,1672.00,1603.95,,,,
2000.03.15,2283.68,1698.20,1633.67,,,,
2000.03.22,2257.78,1680.00,1629.77,,,,
2000.03.29,2257.33,1679.50,1620.21,,,,
2000.03.31,2159.28,1630.00,1525.52,,,,
2000.04.05,2096.27,1560.00,1487.93,,,,
2000.04.12,2105.25,1570.00,1506.26,,,,
2000.04.19,2125.76,1585.00,1512.09,,,,
2000.04.26,2127.27,1596.00,1484.60,,,,
2000.05.03,2108.32,1601.00,1459.47,,,,
2000.05.10,2117.77,1620.00,1454.43,,,,
2000.05.17,2132.64,1630.00,1477.60,,,,
2000.05.24,2152.95,1645.00,1480.50,,,,
2000.06.07,2164.98,1630.00,1546.06,,,,
2000.06.14,2173.22,1630.00,1562.03,,,,
2000.06.21,2166.84,1625.00,1549.94,,,,
2000.06.28,2158.63,1626.00,1528.60,,,,
2000.07.05,2181.13,1631.02,1558.60,,,,
2000.07.12,2190.89,1645.25,1567.43,,,,
2000.07.19,2173.96,1646.02,1539.52,,,,
2000.07.26,2210.92,1972.00,1573.35,,,,
2000.08.02,2222.00,1692.00,1567.47,,,,
2000.08.09,2233.74,1706.40,1543.78,,,,
2000.08.16,2280.67,1745.00,1572.42,,,,
2000.08.23,2346.77,1798.20,1613.49,,,,
2000.08.30,2387.83,1825.90,1636.49,,,,
2000.09.06,2342.99,1799.10,1598.68,,,,
2000.09.13,2353.15,1825.75,1571.79,,,,
2000.10.11,2374.14,1835.01,1600.31,,,,
2000.08.18,2406.23,1875.00,1593.00,,,,
2000.11.01,2405.17,1880.00,1582.40,,,,
2000.11.22,2452.43,1920.00,1627.01,,,,
2001.01.03,2478.11,1900.00,1790.37,,,,
2001.01.31,2479.30,1920.00,1765.82,,,,
2001.02.28,2489.38,1930.00,1768.46,,,,
2001.04.11,2471.32,1945.00,1754.00,,,,
2001.05.02,2475.09,1945.00,1754.97,,,,
2001.05.30,2442.34,1945.00,1669.59,,,,
2001.06.20,2431.29,1945.00,1665.50,,,,
2001.08.01,2479.84,1972.00,1725.70,,,,
2001.09.05,2515.65,1960.00,1778.11,,,,
2001.10.01,2533.85,1968.00,1805.44,,,,
2001.11.21,2498.79,1974.35,1746.31,2015.00,,,
2002.01.09,2488.64,1980.95,1764.04,,,,
2002.02.06,2452.34,1975.00,1707.19,,,,
2002.03.06,2455.27,1975.00,1708.18,,,,
2002.04.10,2468.15,1973.00,1728.94,,,,
2002.05.08,2517.73,1975.00,1802.19,,,,
2002.06.05,2548.76,1976.00,1852.50,,,,
2002.07.03,2628.30,1976.00,1970.54,,,,
2002.08.07,2606.52,1976.00,1932.53,,,,
2002.09.04,2631.49,1976.00,1965.53,,,,
2002.10.09,2601.09,1976.00,1939.24,,,,
2002.11.06,2620.18,1976.00,1967.10,2035.00,,,
2003.01.09,2672.53,1975.00,1985.00,,,,
2003.02.05,2713.87,1975.00,1990.00,,,,
2003.03.05,2720.10,1977.00,2158.69,,,,
2003.04.04,2719.43,1980.00,2156.41,,,,
2003.04.07,2763.80,1980.00,2246.10,,,,
2003.05.15,2781.68,1980.00,2276.80,,,,
2003.06.11,2805.07,1980.00,2316.40,,,,
2003.07.03,2796.15,1985.00,2289.69,,,,
2003.07.09,2770.29,1985.00,2248.23,,,,
2003.08.13,2767.13,1985.00,2245.43,,,,
2003.09.11,2767.54,1995.00,2221.43,,,,
2003.10.01,2859.58,2000.00,2330.39,,,,
2003.11.05,2841.42,2000.00,2293.59,,,,
2003.12.31,2961.24,2000.00,2499.19,2415.00,,,
2004.03.03,2969.46,2000.00,2496.79,2600.00,2850.00,0.23,0.12
2004.04.01,2961.02,2000.00,2444.80,2600.00,2850.00,0.23,0.14
2004.05.06,2927.50,2000.00,2425.21,2700.00,3000.00,0.26,0.19
2004.06.02,2941.76,2000.00,2446.21,2900.00,3150.00,0.31,0.22
2004.07.01,2932.44,2000.00,2431.00,2900.00,3200.00,0.31,0.24
2004.07.14,3701.23,2500.00,3093.02,2900.00,3200.00,0.14,0.03
2004.07.21,2929.33,2500.00,3096.27,2900.00,3200.00,0.14,0.03
