,cpi_us,d4l_cpi_us,y_us,d4l_y_us,l_y_us_gap,l_y_us_tnd,i_fed_us,i_3lib_us,i_6lib_us,r_us,r_fed_us_tnd,cpi_ez,y_ez,d4l_y_ez,l_y_ez_gap,l_y_ez_tnd,usd_eur,oil,l_qoil_tnd,l_qoil_gap,food,l_qfood_tnd,l_qfood_gap,diam,l_qdiam_tnd,l_qdiam_gap,coblt,l_qcoblt_tnd,l_qcoblt_gap,copp,l_qcopp_tnd,l_qcopp_gap,gold,l_qgold_tnd,l_qgold_gap,coal,l_qcoal_tnd,l_qcoal_gap
Comments,"US Consumer Price Index (index, 2005=100, USD)","US Headline CPI Inflation (percent, YoY, log approx.)","US Real GDP (Mil. USD, 2005 prices)","US Real GDP Growth (percent, YoY, log approx.)",US Real GDP Gap (percent),US Real GDP Trend (100*log),US Fed Funds Interest Rate (percent p.a.),3M USD LIBOR Interest Rate (percent p.a.),6M USD LIBOR Interest Rate (percent p.a.),US Real Interest Rate (percent p.a.),US Equilibrium Real Interest Rate (percent p.a.),"EZ Consumer Price Index (index, 2005=100, EUR)","EZ Real GDP (Mil. EUR, 2000 prices)","EZ Real GDP Growth (percent, YoY, log approx.)",EZ Real GDP Gap (percent),EZ Real GDP Trend (100*log),Nominal USD per EUR Exchange Rate (USD per 1 EUR),Price of Brent Crude Oil (USD),"Real Price of Oil Trend (100*log, deflated by US CPI)","Real Price of Oil Gap (percent, deflated by US CPI)","Food Price Index (2002-2004=100, FAO (UN), USD)","Real Price of Food Trend (100*log, deflated by US CPI)","Real Price of Food Gap (percent, deflated by US CPI)",Industrial Diamonds Price Index (USD),"Real Price of Industrial Diamonds Trend (100*log, deflated by US CPI)","Real Price of Industrial Diamonds Gap (percent, deflated by US CPI)",Shanghai Cobalt Spot Price (USD),"Real Price of Shanghai Cobalt Trend (100*log, deflated by US CPI)","Real Price of Shanghai Cobalt Gap (percent, deflated by US CPI)",LME Copper Spot Price (USD),"Real Price of LME Copper Trend (100*log, deflated by US CPI)","Real Price of LME Copper Gap (percent, deflated by US CPI)",Gold Spot Price (USD),"Real Price of Gold Trend (100*log, deflated by US CPI)","Real Price of Gold Gap (percent, deflated by US CPI)",Price of CSX Coal Future (USD),"Real Price of CSX Coal Futures Trend (100*log, deflated by US CPI)","Real Price of CSX Coal Futures Gap (percent, deflated by US CPI)"
2000Q1,78.01905,3.20496,12924.2,4.1139,0.29047,946.39521,5.5664,5.93248,6.12705,2.97972,1.86974,89.0127,2099070.6,4.14501,1.10526,1454.59526,0.98731,26.84047,-129.55846,22.85423,88.50376,25.78202,-13.17282,508.53667,223.604,-36.14558,30527.0041,597.81718,-0.87578,1793.37391,319.06332,-5.57323,290.49765,136.10258,-4.63833,33.58249,-87.12976,2.83492
2000Q2,78.61344,3.2426,13160.8,5.16181,1.08588,947.41392,6.08971,6.40938,6.60426,3.53607,1.74811,89.20964,2118160.9,4.38572,1.39661,1455.20927,0.9343,26.53779,-127.20222,18.60495,90.29792,24.66939,-10.81221,428.48333,225.64828,-56.07736,30817.68346,598.29784,-1.16771,1739.69268,319.0658,-9.37369,280.43099,135.68877,-8.51027,34.26197,-86.83055,3.77989
2000Q3,79.29642,3.41859,13178.4,3.99422,0.3251,948.30834,6.30862,6.48433,6.61772,4.04641,1.67629,89.9522,2129190.3,3.80718,1.32219,1455.80304,0.90485,30.44507,-124.89411,29.16721,91.82177,23.69496,-9.02931,509.00333,227.84198,-41.91582,31124.42368,598.81247,-1.55695,1874.05321,319.25045,-2.98386,276.67584,135.46487,-10.49951,35.09779,-86.54533,5.03985
2000Q4,79.96345,3.41698,13260.5,2.93003,0.12051,949.13399,6.29646,6.47736,6.40076,4.09769,1.58013,90.59785,2146393.2,3.3443,1.55301,1456.37693,0.86939,29.52729,-122.7031,23.07762,93.92458,22.85747,-6.76523,548.26333,230.15463,-37.63603,31396.71702,599.36483,-2.07593,1847.90833,319.61072,-5.58672,269.4206,135.44783,-13.97742,36.08984,-86.27563,6.71981
2001Q1,80.67786,3.35111,13222.7,2.28335,-0.88951,949.85854,5.46545,5.19924,5.05092,3.89139,1.40406,90.83944,2164098.7,3.05093,1.82376,1456.92769,0.92246,25.81261,-120.59281,6.63269,94.25615,22.15297,-6.59778,713.36333,232.56433,-14.61166,31646.29415,599.95913,-2.76791,1765.11364,320.16292,-11.6123,263.75509,135.65934,-17.20366,37.33121,-86.0232,8.95974
2001Q2,81.24201,3.28898,13300,1.05213,-0.97098,950.52291,4.24113,4.09872,4.04701,2.63595,1.29203,91.76443,2167428.7,2.29933,1.45358,1457.45162,0.87352,27.27192,-118.45914,9.30165,94.79821,21.58421,-6.1524,812.37667,235.02536,-4.77219,31777.92162,600.60001,-3.69055,1654.04043,320.93257,-19.57818,268.17271,136.11796,-16.69808,38.82236,-85.78993,11.94632
2001Q3,81.41905,2.64163,13244.8,0.50259,-1.94417,951.0802,3.40709,3.39238,3.3961,2.31344,1.25249,92.08911,2169111.4,1.85758,1.03006,1457.95275,0.8915,25.24795,-116.30144,-0.78497,96.32498,21.15263,-4.34079,774.97667,237.5062,-12.18384,31676.44134,601.29266,-4.92073,1474.13258,321.94991,-32.32834,274.82789,136.82422,-15.17065,40.57345,-85.57797,15.92843
2001Q4,81.47736,1.87556,13280.9,0.15372,-2.18651,951.59473,2.11916,2.11982,2.12309,1.62579,1.10299,92.47817,2173925.1,1.27455,0.77038,1458.4341,0.89495,19.34176,-114.04321,-29.76269,93.0867,20.85478,-7.53417,802.73667,239.99472,-11.22457,31418.23274,602.04282,-6.56098,1428.17211,323.25551,-36.87297,278.50634,137.77173,-14.86017,30.9864,-85.38968,-11.28801
2002Q1,81.70012,1.25913,13397,1.30958,-1.79983,952.07843,1.72617,1.88599,2.04726,1.30012,0.9969,93.17234,2176312.5,0.5628,0.41546,1458.89879,0.87687,21.15567,-111.50157,-23.61319,89.08997,20.70455,-12.04542,1014.62,242.46816,9.45324,31074.55625,602.85689,-8.74797,1558.99576,324.86706,-29.99288,290.97954,138.95655,-11.9368,25.92255,-85.01667,-29.77756
