,cpi,cpi_core,cpi_local,cpi_import,cpi_food,cpi_clothing,cpi_ameu,cpi_trans,cpi_house_energie,cpi_health,cpi_cult,cpi_educ,cpi_hotel,cpi_other,w_cpi_food,w_cpi_clothing,w_cpi_house_energie,w_cpi_trans,w_cpi_ameu,w_cpi_health,w_cpi_cult,w_cpi_educ,w_cpi_hotel,w_cpi_other,ir,eur_gnf,M2,CNE,CNP,ir_ib_7j,bdt_91j,bdt_182j,bdt_364j,res_ex,cre_etat,av_ext_net,usd_gnf,usd_gnf_p,eur_gnf,eur_gnf_p
Comments,IPC: Indice generale,,IPC:Produits locaux,IPC: Produits importés,IPC: Alimentation,IPC: Habillement et chaussures,IPC: Ameublement/Equipement mï¿½nager,IPC: Transport,IPC: Logement/Electricitï¿½/Eau/Gaz,IPC: Santï¿½,IPC: Loisir/spectacle/culture,IPC: Enseignement,IPC: Hotels cafï¿½ restaurants,IPC: Autres biens et services,,,,,,,,,,,Taux directeur,EUR/GNF,,Credit Nette sur l'Etat,Credit Nette sur le Secteur Prive,Taux d'interet interbancaire a 7 jours,Taux du bons du Tresor á 91 jours,Taux du bons du Tresor á 182 jours,Taux du bons du Tresor á 364 jours,Reserves excedantaires (GNF),Créances net sur l'état,Avoirs exterieurs net (mln USD),USD/GNF: Taux de change officiel,USD/GNF: Taux de change parallel,EUR/GNF: Taux de change officiel,EUR/GNF: Taux de change parallel
2000M01,,,147.8,169.5,,,,,,,,,,,3756,732,1088,1121,830,1120,364,90,220,679,,1828.16,598.22,,,,,,,,,,1772.975,,1828.165,
2000M02,,,148.1,169.6,,,,,,,,,,,3756,732,1088,1121,830,1120,364,90,220,679,,1763.14,590.5,,,,,,,,,,1799.6667,,1763.14,
2000M03,,,148.3,169.4,,,,,,,,,,,3756,732,1088,1121,830,1120,364,90,220,679,,1606.22,599.86,,,,,,,,,,1721.95,,1606.21667,
2000M04,,,147.7,169.3,,,,,,,,,,,3756,732,1088,1121,830,1120,364,90,220,679,,1497.72,603.71,,,,,,,,,,1577.75,,1497.72,
2000M05,,,147.6,170.4,,,,,,,,,,,3756,732,1088,1121,830,1120,364,90,220,679,,1468,615.06,,,,,,,,,,1624,,1468,
2000M06,,,148,170.4,,,,,,,,,,,3756,732,1088,1121,830,1120,364,90,220,679,,1546.66,621.29,,,,,,,,,,1627.75,,1546.6575,
2000M07,,,148.8,170.5,,,,,,,,,,,3756,732,1088,1121,830,1120,364,90,220,679,,1559.73,648.02,,,,,,,,,,1723.5725,,1559.725,
2000M08,,,150.1,170.6,,,,,,,,,,,3756,732,1088,1121,830,1120,364,90,220,679,,1587.77,646.06,,,,,,,,,,1773.75,,1587.775,
2000M09,,,156.6,180.9,,,,,,,,,,,3756,732,1088,1121,830,1120,364,90,220,679,,1585.23,652.31,,,,,,,,,,1812.425,,1585.235,
2000M10,,,156.2,181.5,,,,,,,,,,,3756,732,1088,1121,830,1120,364,90,220,679,,1600.31,679.03,,,,,,,,,,1835.01,,1600.31,
2000M11,,,156.7,182.7,,,,,,,,,,,3756,732,1088,1121,830,1120,364,90,220,679,,1604.7,677.06,,,,,,,,,,1900,,1604.705,
2000M12,,,157.7,183,,,,,,,,,,,3756,732,1088,1121,830,1120,364,90,220,679,,,671.84,,,,,,,,,,,,,
2001M01,96.382,,158.3,182.5,,,,,,,,,,,3756,732,1088,1121,830,1120,364,90,220,679,,1778.09775,598.215,,,,,,,,,,1910,,1778.095,
2001M02,95.695,,158.9,178.8,,,,,,,,,,,3756,732,1088,1121,830,1120,364,90,220,679,,1768.4589,590.496,,,,,,,,,,1930,,1768.46,
2001M03,95.752,,158.9,179,,,,,,,,,,,3756,732,1088,1121,830,1120,364,90,220,679,,1754.0019,599.86,,,,,,,,,,,,,
2001M04,95.695,,158.1,180,,,,,,,,,,,3756,732,1088,1121,830,1120,364,90,220,679,,,603.711,,,,,,,,,,1945,,1754,
2001M05,95.867,,158.6,179.8,,,,,,,,,,,3756,732,1088,1121,830,1120,364,90,220,679,,1712.28085,615.06,,,,,,,,,,1945,,1712.28,
2001M06,96.268,,159.7,180,,,,,,,,,,,3756,732,1088,1121,830,1120,364,90,220,679,,1665.5042,621.29,,,,,,,,,,1945,,1665.5,
2001M07,96.726,,159.9,181.7,,,,,,,,,,,3756,732,1088,1121,830,1120,364,90,220,679,,,648.015,,,,,,,,,,,,,
2001M08,98.33,,161.7,185.9,,,,,,,,,,,3756,732,1088,1121,830,1120,364,90,220,679,,1725.6971,646.055,,,,,,,,,,1972,,1725.7,
2001M09,98.673,,161.6,187.6,,,,,,,,,,,3756,732,1088,1121,830,1120,364,90,220,679,,1778.111,652.31,,,,,,,,,,1960,,1778.11,
2001M10,98.845,,161.5,188.6,,,,,,,,,,,3756,732,1088,1121,830,1120,364,90,220,679,,1805.4432,679.027,,,,,,,,,,1968,,1805.44,
2001M11,97.07,,158.4,185.5,,,,,,,,,,,3756,732,1088,1121,830,1120,364,90,220,679,,1746.3128,677.063,,,,,,,,,,1974.35,2015,1746.31,
2001M12,97.356,,158.7,186.1,,,,,,,,,,,3756,732,1088,1121,830,1120,364,90,220,679,,,671.836,,,,,,,,,,,,,
2002M01,97.241,,158.6,185.5,,,,,,,,,,,3756,732,1088,1121,830,1120,364,90,220,679,,1764.0354,670.604,,,,,,,,,,1980.95,,1764.04,
2002M02,97.7,,159.9,185.8,,,,,,,,,,,3756,732,1088,1121,830,1120,364,90,220,679,,1707.1896,669.619,,,,,,,,,,1975,,1707.19,
2002M03,97.929,,159.3,187.6,,,,,,,,,,,3756,732,1088,1121,830,1120,364,90,220,679,,1708.1787,649.955,,,,,,,,,,1975,,1708.18,
2002M04,97.929,,159.4,187.7,,,,,,,,,,,3756,732,1088,1121,830,1120,364,90,220,679,,1728.9394,672.095,,,,,,,,,,1973,,1728.94,
2002M05,98.272,,160.5,187.5,,,,,,,,,,,3756,732,1088,1121,830,1120,364,90,220,679,,1802.1883,700.93,,,,,,,,,,1975,,1802.19,
2002M06,98.788,,161.7,187.9,,,,,,,,,,,3756,732,1088,1121,830,1120,364,90,220,679,,1852.5,734.4,,,,,,,,,,1976,,1852.5,
2002M07,100.048,,164.4,189.4,,,,,,,,,,,3756,732,1088,1121,830,1120,364,90,220,679,,1970.5358,749.283,,,,,,,,,,1976,,1970.54,
2002M08,100.62,,165.7,189.9,,,,,,,,,,,3756,732,1088,1121,830,1120,364,90,220,679,,1932.5285,764.852,,,,,,,,,,1976,,1932.53,
2002M09,101.078,,166.8,190.2,,,,,,,,,,,3756,732,1088,1121,830,1120,364,90,220,679,,1965.5267,787.299,,,,,,,,,,1976,,1965.53,
2002M10,101.479,,167.3,191.3,,,,,,,,,,,3756,732,1088,1121,830,1120,364,90,220,679,,1939.2434,777.143,,,,,,,,,,1976,,1939.24,
2002M11,102.682,,169.3,193.7,,,,,,,,,,,3756,732,1088,1121,830,1120,364,90,220,679,,1967.0991,779.388,,,,,,,,,,1976,2035,1967.1,
2002M12,102.854,,170.8,194.1,,,,,,,,,,,3756,732,1088,1121,830,1120,364,90,220,679,,,800.982,,,,,,,,,,,,,
