,pibn,pib_reel,M2,deflateur,inflation,GDP_prim,GDP_sec,GDP_tert, GDP_DTI,GDP,EXP,IMP,GDP_prim,GDP_sec,GDP_tert, GDP_DTI
Comments,PIB Nominal,,,,,,,,,,,,,,,
1983Y01,303.65,,,,,,,,,,,,,,,
1984Y01,395.58,,,,,,,,,,,,,,,
1985Y01,514.41,,,,,,,,,,,,,,,
1986Y01,665.3,,,,,,,,,,,,,,,
1987Y01,874.6,,,,,,,,,,,,,,,
1988Y01,1131.1,,,,,,,,,,,,,,,
1989Y01,1438.86,19572.53047,,,,,,,,19572.53,,,3 097,6 689,9 081,705
1990Y01,1860.45,20 541,156.1,42.381,0.19,3763.196842,5897.659774,9988.360574,891.7828105,20541,,,3 215,6 883,9 675,769
1991Y01,2272.89,20 792,207.9,53.384,0.2,3896.249495,5995.500179,9954.955005,945.2953202,20792,,,3 341,7 008,9 628,815
1992Y01,2962.77,21 361,255.3,67.381,0.17,4044.63646,6077.973493,10227.89139,1010.498655,21361,,,3 483,7 086,9 922,871
1993Y01,3133.1,22 175,315,67.832,0.07,4209.415716,6486.096791,10379.05427,1100.433227,22175,,,3 639,7 506,10 081,948
1994Y01,3304.06,22 704,304.7,68.78,0.04,4392.147577,6627.751327,10514.33778,1169.763313,22704,,,3 804,7 642,10 251,1 008
1995Y01,3661.43,23 858,339.5,72.823,0.05,4549.188209,7057.602587,10976.15509,1275.054109,23858,,,3 918,8 076,10 765,1 099
1996Y01,3884.04,24 923,350,73.462,0.03,4745.679708,7620.110144,11130.39269,1426.81746,24923,,,4 042,8 640,11 011,1 230
1997Y01,4143.86,26 214,410.71,74.516,0.02,5053.032675,7872.272354,11539.44419,1749.250778,26214,,,4 364,8 919,11 423,1 507
1998Y01,4438.28,27 169,435.902,76.311,0.05,5286.980601,8253.13374,11874.40456,1754.481098,27169,,,4 456,9 338,11 863,1 512
1999Y01,4802.11,28 205,474.126,79.003,0.05,5636.262466,8768.045946,12028.64579,1772.045802,28205,,,4 665,9 894,12 118,1 527
2000Y01,5232.51,28 911,585.436,83.67,0.07,5802.343133,9154.389191,12233.6105,1720.657174,28911,,,4 832,10 339,12 257,1 483
2001Y01,5518.98,29 969,671.836,85.046,0.05,6146.266556,9625.966043,12426.19135,1770.57605,29969,,,5 055,10 837,12 551,1 526
2002Y01,5829.13,31 516,800.982,86.232,0.03,6404.931203,10114.40775,12785.26642,2211.394629,31516,,,5 222,11 351,13 038,1 906
2003Y01,6840.95,31 910,1083.314,100,0.13,6630.887757,10123.08465,12942.38752,2213.640073,31910,,,5 375,11 277,13 350,1 908
2004Y01,8157.72,32 657,1484.638,116.522,0.18,6843.612782,10426.24538,13093.39408,2293.747755,32657,759.57,-668.69,5 540,11 557,13 668,1 892
2005Y01,10703.67,33 205,2036.76,148.438,0.31,6846.472057,10679.52549,13132.96952,2546.03294,33205,846.49,-752.94,5 612,11 937,14 168,1 919
2006Y01,15094.2,34 034,3247.29,204.227,0.35,7113.9995,10922.68115,13292.17103,2705.148322,34034,1032.58,-956.04,5 722,11 921,14 479,1 913
2007Y01,17354.23,36 358,3398.239,230.749,0.23,7677.661041,11658.96055,14033.26454,2988.113868,36358,1203.2,-1217.61,5 843,12 143,15 493,2 879
2008Y01,20780.43,37 862,4727.174,263.306,0.18,7893.342437,12659.78153,14259.45097,3049.425066,37862,1342.01,-1366.07,6 096,12 959,15 651,3 157
2009Y01,22132.63,37 439,5945.123,281.228,0.05,8079.821155,12159.65755,14252.62757,2946.893724,37439,1049.72,-1060.09,5 734,12 504,16 303,2 897
2010Y01,27081.62,39 243,10366.376,338.034,0.15,8573.291052,12793.6129,14851.79404,3024.302006,39243,1471.17,-1404.92,6 862,12 681,17 033,2 667
2011Y01,33696.71,41 446,11325.649,404.135,0.21,9107.725226,13585.91392,15580.64714,3171.713723,41446,1432.72,-2105.57,7 299,12 772,18 608,2 767
2012Y01,39590.19,43 898,11449.855,458.267,0.15,9641.346057,14340.54987,16410.59424,3505.509825,43898,1927.59,-2253.96,7 655,13 346,19 808,3 089
2013Y01,57855.7,45 625,13067.542,486.315,0.12,10293.72507,14697.63604,17069.16599,3564.472906,45625,1886.26,-2139.05,8 067,12 676,21 667,3 216
2014Y01,61573.47,47 317,14671.809,533.671,0.1,8 429,13 632,21 934,3 322,47 317,2039.56,-2384.58,8429,13632,21934,3322
2015Y01,65627.25,49 122,17644.34375,573.523,0.08,8 944,13 086,23 856,3 236,49 122,1781.15,2191.75,8944,13086,23856,3236
2016Y01,76577.12,54 257,19394.61405,626.395,0.08,9 339,15 796,25 217,3 905,54 257,2414.35,4429.44,9339,15796,25217,3905
2017Y01,,58 734,,,,9 509,19 434,25 755,4 036,58 734,4594.06,3484.05,9509,19434,25755,4036
2018Y01,,62 169,,,,9 802,21 252,26 953,4 161,62 168,,,9802,21252,26953,4161
2019Y01,,65 831,,,,,,,,,,,,,,
2020Y01,,70 053,,,,,,,,,,,,,,
2021Y01,,74 614,,,,,,,,,,,,,,
2022Y01,,78 583,,,,,,,,,,,,,,
2023Y01,,,,,,,,,,,,,,,,
